i,o
NIKE.COM $426.39 05/03,"('Nike', 'Retail')"
NIKE.COM $111.66 06/11,"('Nike', 'Retail')"
NIKE.COM $497.07 10/22,"('Nike', 'Retail')"
NIKE.COM $385.12 10/16,"('Nike', 'Retail')"
NIKE PURCHASE $306.95 10/17,"('Nike', 'Retail')"
NIKE PURCHASE $363.41 11/11,"('Nike', 'Retail')"
NIKE PURCHASE $491.44 11/13,"('Nike', 'Retail')"
NIKE PURCHASE $201.57 08/28,"('Nike', 'Retail')"
NIKE PURCHASE $165.99 04/12,"('Nike', 'Retail')"
NIKE PURCHASE $201.42 10/15,"('Nike', 'Retail')"
NIKE PURCHASE $39.96 09/26,"('Nike', 'Retail')"
NIKE PURCHASE $272.0 03/13,"('Nike', 'Retail')"
NIKE PURCHASE $280.22 09/24,"('Nike', 'Retail')"
NIKE PURCHASE $165.42 08/24,"('Nike', 'Retail')"
NIKE PURCHASE $140.11 07/17,"('Nike', 'Retail')"
NIKE PURCHASE $162.08 12/07,"('Nike', 'Retail')"
NIKE PURCHASE $234.93 08/24,"('Nike', 'Retail')"
NIKE PURCHASE $76.37 09/29,"('Nike', 'Retail')"
NIKE PURCHASE $490.71 09/05,"('Nike', 'Retail')"
NIKE PURCHASE $404.18 07/26,"('Nike', 'Retail')"
NIKE PURCHASE $65.31 02/27,"('Nike', 'Retail')"
NIKE PURCHASE $46.99 07/24,"('Nike', 'Retail')"
NIKE PURCHASE $106.13 07/02,"('Nike', 'Retail')"
NIKE PURCHASE $278.29 10/20,"('Nike', 'Retail')"
ADIDAS.COM $293.24 01/29,"('Adidas', 'Retail')"
ADIDAS.COM $324.51 08/23,"('Adidas', 'Retail')"
ADIDAS.COM $114.73 01/10,"('Adidas', 'Retail')"
ADIDAS.COM $462.22 08/22,"('Adidas', 'Retail')"
ADIDAS.COM $420.42 07/09,"('Adidas', 'Retail')"
ADIDAS.COM $134.16 09/16,"('Adidas', 'Retail')"
ADIDAS.COM $259.65 10/18,"('Adidas', 'Retail')"
ADIDAS.COM $330.08 02/27,"('Adidas', 'Retail')"
ADIDAS.COM $397.43 11/15,"('Adidas', 'Retail')"
ADIDAS.COM $465.25 12/22,"('Adidas', 'Retail')"
ADIDAS.COM $335.7 04/02,"('Adidas', 'Retail')"
ADIDAS.COM $92.98 03/10,"('Adidas', 'Retail')"
ADIDAS.COM $490.11 08/27,"('Adidas', 'Retail')"
ADIDAS.COM $393.87 07/05,"('Adidas', 'Retail')"
ADIDAS.COM $164.16 07/18,"('Adidas', 'Retail')"
ADIDAS.COM $217.51 12/25,"('Adidas', 'Retail')"
ADIDAS.COM $94.6 02/20,"('Adidas', 'Retail')"
ADIDAS.COM $167.5 08/29,"('Adidas', 'Retail')"
ADIDAS.COM $53.01 01/13,"('Adidas', 'Retail')"
ADIDAS.COM $189.17 01/09,"('Adidas', 'Retail')"
ADIDAS PURCHASE $153.92 07/09,"('Adidas', 'Retail')"
ADIDAS PURCHASE $200.24 01/07,"('Adidas', 'Retail')"
ADIDAS PURCHASE $92.76 06/28,"('Adidas', 'Retail')"
ADIDAS PURCHASE $14.36 12/12,"('Adidas', 'Retail')"
ADIDAS PURCHASE $462.13 03/30,"('Adidas', 'Retail')"
ADIDAS PURCHASE $159.37 03/23,"('Adidas', 'Retail')"
ADIDAS PURCHASE $243.36 02/07,"('Adidas', 'Retail')"
ADIDAS PURCHASE $367.08 09/03,"('Adidas', 'Retail')"
ADIDAS PURCHASE $490.32 12/10,"('Adidas', 'Retail')"
ADIDAS PURCHASE $270.96 07/23,"('Adidas', 'Retail')"
ADIDAS PURCHASE $8.28 05/13,"('Adidas', 'Retail')"
ADIDAS PURCHASE $293.52 11/27,"('Adidas', 'Retail')"
ADIDAS PURCHASE $262.52 03/31,"('Adidas', 'Retail')"
ADIDAS PURCHASE $73.3 01/05,"('Adidas', 'Retail')"
ADIDAS PURCHASE $433.65 05/19,"('Adidas', 'Retail')"
ADIDAS PURCHASE $364.47 12/14,"('Adidas', 'Retail')"
ADIDAS PURCHASE $333.67 10/29,"('Adidas', 'Retail')"
ADIDAS PURCHASE $340.22 11/12,"('Adidas', 'Retail')"
ADIDAS PURCHASE $433.84 02/25,"('Adidas', 'Retail')"
ADIDAS PURCHASE $101.21 07/30,"('Adidas', 'Retail')"
WALMART GROC 5678 $72.55 03/31,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $181.86 04/30,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $307.51 02/06,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $465.84 08/14,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $255.9 12/28,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $113.4 04/14,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $98.31 05/09,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $363.87 07/04,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $279.36 02/03,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $327.02 06/05,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $24.79 05/20,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $460.09 10/18,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $34.22 06/22,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $150.66 09/17,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $357.69 10/28,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $346.27 03/21,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $220.85 02/19,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $215.14 05/22,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $417.45 07/20,"('Walmart Grocery', 'Retail')"
WALMART GROC 5678 $291.82 07/14,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $245.48 03/19,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $438.37 11/27,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $447.04 08/26,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $499.36 03/25,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $77.2 12/25,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $11.39 02/19,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $337.17 06/26,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $464.77 08/28,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $201.33 06/01,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $115.44 10/06,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $452.68 11/11,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $251.16 01/17,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $428.92 08/09,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $471.84 10/05,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $223.59 01/04,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $327.2 10/24,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $411.23 07/04,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $85.01 11/04,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $252.5 11/11,"('Walmart Grocery', 'Retail')"
WALMART SHOPPING $110.65 03/17,"('Walmart Grocery', 'Retail')"
COSTCO 5678 $245.43 08/09,"('Costco', 'Retail')"
COSTCO 5678 $197.02 09/23,"('Costco', 'Retail')"
COSTCO 5678 $146.5 02/27,"('Costco', 'Retail')"
COSTCO 5678 $443.72 02/21,"('Costco', 'Retail')"
COSTCO 5678 $120.24 06/08,"('Costco', 'Retail')"
COSTCO 5678 $199.33 02/26,"('Costco', 'Retail')"
COSTCO 5678 $478.31 10/08,"('Costco', 'Retail')"
COSTCO 5678 $21.84 03/05,"('Costco', 'Retail')"
COSTCO 5678 $493.92 01/20,"('Costco', 'Retail')"
COSTCO 5678 $373.49 06/01,"('Costco', 'Retail')"
COSTCO 5678 $158.68 04/06,"('Costco', 'Retail')"
COSTCO 5678 $394.81 12/10,"('Costco', 'Retail')"
COSTCO 5678 $13.86 05/31,"('Costco', 'Retail')"
COSTCO 5678 $146.88 08/14,"('Costco', 'Retail')"
COSTCO 5678 $205.59 01/28,"('Costco', 'Retail')"
COSTCO 5678 $163.69 03/07,"('Costco', 'Retail')"
COSTCO 5678 $166.64 03/30,"('Costco', 'Retail')"
COSTCO 5678 $189.06 09/23,"('Costco', 'Retail')"
COSTCO 5678 $119.97 02/14,"('Costco', 'Retail')"
COSTCO 5678 $204.72 07/12,"('Costco', 'Retail')"
COSTCO SHOP $390.67 03/01,"('Costco', 'Retail')"
COSTCO SHOP $490.76 06/28,"('Costco', 'Retail')"
COSTCO SHOP $438.59 06/06,"('Costco', 'Retail')"
COSTCO SHOP $278.43 06/16,"('Costco', 'Retail')"
COSTCO SHOP $257.14 11/05,"('Costco', 'Retail')"
COSTCO SHOP $180.67 06/24,"('Costco', 'Retail')"
COSTCO SHOP $414.54 11/28,"('Costco', 'Retail')"
COSTCO SHOP $85.86 12/19,"('Costco', 'Retail')"
COSTCO SHOP $141.99 05/17,"('Costco', 'Retail')"
COSTCO SHOP $288.96 01/13,"('Costco', 'Retail')"
COSTCO SHOP $109.7 05/19,"('Costco', 'Retail')"
COSTCO SHOP $388.06 09/07,"('Costco', 'Retail')"
COSTCO SHOP $447.54 10/27,"('Costco', 'Retail')"
COSTCO SHOP $131.29 06/12,"('Costco', 'Retail')"
COSTCO SHOP $69.82 09/04,"('Costco', 'Retail')"
COSTCO SHOP $168.76 09/27,"('Costco', 'Retail')"
COSTCO SHOP $46.77 02/15,"('Costco', 'Retail')"
COSTCO SHOP $277.52 06/05,"('Costco', 'Retail')"
COSTCO SHOP $93.75 03/26,"('Costco', 'Retail')"
COSTCO SHOP $243.21 06/21,"('Costco', 'Retail')"
WHOLEFD 5678 $223.01 03/05,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $34.92 05/12,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $245.11 05/04,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $488.85 04/02,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $116.11 06/04,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $249.2 02/19,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $324.83 11/18,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $146.27 12/31,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $62.99 07/23,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $29.96 04/14,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $481.33 02/02,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $316.3 06/24,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $266.74 12/14,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $292.49 11/24,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $416.04 11/04,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $287.78 02/05,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $329.75 08/30,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $339.9 09/21,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $65.92 06/07,"('Whole Foods', 'Retail')"
WHOLEFD 5678 $255.88 10/29,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $47.5 11/02,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $301.3 01/01,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $489.8 10/21,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $292.54 01/02,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $82.48 11/15,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $412.27 05/21,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $91.34 10/03,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $407.05 12/21,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $57.9 10/24,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $426.56 05/22,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $13.62 03/27,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $394.44 12/08,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $423.63 05/15,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $158.72 10/12,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $300.05 12/03,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $224.91 06/24,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $417.51 11/02,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $464.07 09/06,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $499.5 02/12,"('Whole Foods', 'Retail')"
WHOLEFD GROCERY $238.6 09/17,"('Whole Foods', 'Retail')"
TRADERJOES 5678 $379.73 10/09,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $147.91 09/13,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $459.28 03/11,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $412.96 12/26,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $334.88 11/26,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $149.16 04/24,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $204.5 12/21,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $165.6 05/03,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $16.78 11/19,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $325.52 03/02,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $168.49 07/03,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $49.36 10/31,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $191.02 07/09,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $119.73 02/17,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $396.57 09/14,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $22.82 03/13,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $318.02 02/22,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $194.89 01/04,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $124.07 03/03,"('Trader Joe's', 'Retail')"
TRADERJOES 5678 $107.54 09/15,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $153.58 04/11,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $454.07 02/17,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $108.48 12/09,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $408.22 07/08,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $490.05 06/19,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $308.76 12/16,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $258.24 03/14,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $457.45 02/06,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $354.69 07/01,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $30.54 12/13,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $309.75 03/30,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $108.22 05/14,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $228.38 05/03,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $90.9 09/15,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $461.93 06/12,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $264.56 10/22,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $482.77 02/24,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $206.9 06/11,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $239.06 09/12,"('Trader Joe's', 'Retail')"
TRADERJOES SHOP $401.92 12/06,"('Trader Joe's', 'Retail')"
INSTACART $339.8 02/09,"('Instacart', 'Food Delivery')"
INSTACART $160.45 01/09,"('Instacart', 'Food Delivery')"
INSTACART $280.14 07/12,"('Instacart', 'Food Delivery')"
INSTACART $154.33 06/12,"('Instacart', 'Food Delivery')"
INSTACART $437.17 01/30,"('Instacart', 'Food Delivery')"
INSTACART $227.46 11/26,"('Instacart', 'Food Delivery')"
INSTACART $194.77 05/27,"('Instacart', 'Food Delivery')"
INSTACART $88.12 01/23,"('Instacart', 'Food Delivery')"
INSTACART $238.44 01/28,"('Instacart', 'Food Delivery')"
INSTACART $234.85 01/26,"('Instacart', 'Food Delivery')"
INSTACART $190.2 11/15,"('Instacart', 'Food Delivery')"
INSTACART $74.57 12/10,"('Instacart', 'Food Delivery')"
INSTACART $139.91 06/12,"('Instacart', 'Food Delivery')"
INSTACART $432.48 08/13,"('Instacart', 'Food Delivery')"
INSTACART $461.28 10/12,"('Instacart', 'Food Delivery')"
INSTACART $437.37 04/08,"('Instacart', 'Food Delivery')"
INSTACART $221.59 08/21,"('Instacart', 'Food Delivery')"
INSTACART $130.82 06/24,"('Instacart', 'Food Delivery')"
INSTACART $113.43 03/16,"('Instacart', 'Food Delivery')"
INSTACART $99.28 10/18,"('Instacart', 'Food Delivery')"
INSTACART ORDER $155.7 04/01,"('Instacart', 'Food Delivery')"
INSTACART ORDER $107.09 07/02,"('Instacart', 'Food Delivery')"
INSTACART ORDER $462.06 06/20,"('Instacart', 'Food Delivery')"
INSTACART ORDER $128.46 05/14,"('Instacart', 'Food Delivery')"
INSTACART ORDER $256.3 11/22,"('Instacart', 'Food Delivery')"
INSTACART ORDER $77.76 07/18,"('Instacart', 'Food Delivery')"
INSTACART ORDER $70.57 01/19,"('Instacart', 'Food Delivery')"
INSTACART ORDER $357.14 03/26,"('Instacart', 'Food Delivery')"
INSTACART ORDER $245.0 07/08,"('Instacart', 'Food Delivery')"
INSTACART ORDER $358.07 09/24,"('Instacart', 'Food Delivery')"
INSTACART ORDER $74.41 04/16,"('Instacart', 'Food Delivery')"
INSTACART ORDER $324.92 02/19,"('Instacart', 'Food Delivery')"
INSTACART ORDER $469.48 01/14,"('Instacart', 'Food Delivery')"
INSTACART ORDER $31.31 08/21,"('Instacart', 'Food Delivery')"
INSTACART ORDER $46.55 07/26,"('Instacart', 'Food Delivery')"
INSTACART ORDER $190.47 03/23,"('Instacart', 'Food Delivery')"
INSTACART ORDER $199.24 10/28,"('Instacart', 'Food Delivery')"
INSTACART ORDER $247.66 06/08,"('Instacart', 'Food Delivery')"
INSTACART ORDER $377.08 03/26,"('Instacart', 'Food Delivery')"
INSTACART ORDER $386.79 08/08,"('Instacart', 'Food Delivery')"
GRUBHUB 5678 $200.42 09/14,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $345.64 04/28,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $212.7 05/18,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $405.97 08/29,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $310.64 12/21,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $275.47 01/22,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $415.59 06/05,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $273.43 11/21,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $394.61 04/04,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $187.89 06/17,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $265.3 07/03,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $172.44 01/02,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $315.08 07/08,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $210.8 12/16,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $153.23 02/08,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $251.91 01/17,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $236.76 12/21,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $179.46 06/02,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $478.44 08/29,"('Grubhub', 'Food Delivery')"
GRUBHUB 5678 $361.83 04/03,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $471.33 09/02,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $433.11 03/24,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $392.8 12/16,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $35.11 12/27,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $120.14 09/26,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $121.1 12/05,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $31.05 05/20,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $353.05 03/21,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $405.84 02/18,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $460.45 12/16,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $98.58 07/21,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $168.0 05/30,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $77.74 05/29,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $67.31 08/09,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $409.08 08/30,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $296.2 11/19,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $48.69 07/27,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $462.26 10/21,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $284.14 09/16,"('Grubhub', 'Food Delivery')"
GRUBHUB MEAL $65.32 02/02,"('Grubhub', 'Food Delivery')"
CHIPOTLE 5678 $306.36 02/16,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $214.64 12/01,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $204.07 11/28,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $142.32 01/10,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $24.37 07/14,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $273.34 04/06,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $77.01 03/30,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $361.34 11/19,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $361.29 12/14,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $441.58 12/07,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $279.63 10/26,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $314.48 02/05,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $239.72 03/16,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $492.65 05/09,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $299.79 08/05,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $310.38 06/17,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $442.28 07/13,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $100.34 04/06,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $265.43 02/01,"('Chipotle', 'Food & Beverage')"
CHIPOTLE 5678 $131.56 02/21,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $304.79 06/03,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $344.28 01/22,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $163.29 11/30,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $311.62 04/03,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $164.77 03/06,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $137.03 08/05,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $465.46 08/15,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $10.42 09/25,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $293.86 07/31,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $492.21 01/26,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $483.89 05/12,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $466.15 09/03,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $330.8 03/05,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $444.99 06/29,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $429.41 02/22,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $492.76 06/08,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $280.2 03/12,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $254.87 07/16,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $353.03 12/21,"('Chipotle', 'Food & Beverage')"
CHIPOTLE ORDER $220.79 04/26,"('Chipotle', 'Food & Beverage')"
PANERA 5678 $30.16 09/20,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $34.1 03/05,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $202.92 07/02,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $282.95 10/23,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $318.46 06/30,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $141.09 07/06,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $113.71 05/22,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $356.45 11/14,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $446.38 11/23,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $273.92 05/03,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $371.16 07/23,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $252.68 04/18,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $139.41 07/02,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $351.72 01/12,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $64.29 12/12,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $399.15 09/10,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $22.93 03/07,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $351.62 06/17,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $226.78 12/07,"('Panera Bread', 'Food & Beverage')"
PANERA 5678 $11.51 04/10,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $177.27 06/08,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $187.05 04/28,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $265.53 04/07,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $375.54 11/02,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $465.17 12/29,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $325.99 03/24,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $221.46 07/26,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $457.12 01/28,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $295.62 01/28,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $181.86 03/05,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $320.4 07/27,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $339.31 06/29,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $351.12 04/03,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $474.85 03/23,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $483.11 11/14,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $315.03 09/20,"('Panera Bread', 'Food & Beverage')"
PANERA LUNCH $373.43 03/10,"('Panera Bread', 'Food & Beverage')"
